epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,122.553,0.56198,0.61234,0.78975,0.81967,0.79201,0.81122,0.64333,0.55891,0.81799,0.85122,0.000558953,0.000558953,0.000558953
125,123.551,0.50111,0.54953,0.81415,0.81967,0.79201,0.81122,0.64333,0.55891,0.81799,0.85122,0.00055188,0.00055188,0.00055188
126,124.495,0.52395,0.58776,0.8307,0.81967,0.79201,0.81122,0.64333,0.55891,0.81799,0.85122,0.000544806,0.000544806,0.000544806
127,125.524,0.52618,0.54504,0.82525,0.81967,0.79201,0.81122,0.64333,0.55891,0.81799,0.85122,0.000537733,0.000537733,0.000537733
128,126.571,0.47511,0.58391,0.81043,0.81546,0.80769,0.81456,0.64772,0.56289,0.75838,0.8514,0.000530659,0.000530659,0.000530659
129,127.555,0.5266,0.52542,0.82898,0.81546,0.80769,0.81456,0.64772,0.56289,0.75838,0.8514,0.000523586,0.000523586,0.000523586
130,128.514,0.48022,0.51596,0.80621,0.81546,0.80769,0.81456,0.64772,0.56289,0.75838,0.8514,0.000516512,0.000516512,0.000516512
131,129.476,0.45003,0.51917,0.80562,0.81546,0.80769,0.81456,0.64772,0.56289,0.75838,0.8514,0.000509438,0.000509438,0.000509438
132,130.502,0.52906,0.55079,0.80782,0.80056,0.82051,0.81879,0.64571,0.59719,0.70558,0.85912,0.000502365,0.000502365,0.000502365
133,131.503,0.48196,0.53475,0.8126,0.80056,0.82051,0.81879,0.64571,0.59719,0.70558,0.85912,0.000495291,0.000495291,0.000495291
134,132.48,0.45008,0.50064,0.81284,0.80056,0.82051,0.81879,0.64571,0.59719,0.70558,0.85912,0.000488218,0.000488218,0.000488218
135,133.453,0.55488,0.52884,0.81101,0.80056,0.82051,0.81879,0.64571,0.59719,0.70558,0.85912,0.000481144,0.000481144,0.000481144
136,134.446,0.48007,0.57699,0.80859,0.77963,0.82051,0.81652,0.64506,0.59481,0.67328,0.85689,0.000474071,0.000474071,0.000474071
137,135.456,0.44469,0.50608,0.82173,0.77963,0.82051,0.81652,0.64506,0.59481,0.67328,0.85689,0.000466997,0.000466997,0.000466997
138,136.441,0.49922,0.57801,0.83719,0.77963,0.82051,0.81652,0.64506,0.59481,0.67328,0.85689,0.000459924,0.000459924,0.000459924
139,137.393,0.47874,0.50346,0.82206,0.77963,0.82051,0.81652,0.64506,0.59481,0.67328,0.85689,0.00045285,0.00045285,0.00045285
140,138.41,0.49596,0.54685,0.80376,0.80445,0.95494,0.98393,0.68261,0.57469,0.66646,0.84974,0.000445777,0.000445777,0.000445777
141,139.371,0.45152,0.50841,0.8084,0.80445,0.95494,0.98393,0.68261,0.57469,0.66646,0.84974,0.000438703,0.000438703,0.000438703
142,140.326,0.47293,0.55015,0.79437,0.80445,0.95494,0.98393,0.68261,0.57469,0.66646,0.84974,0.000431629,0.000431629,0.000431629
143,141.266,0.44173,0.51002,0.82612,0.80445,0.95494,0.98393,0.68261,0.57469,0.66646,0.84974,0.000424556,0.000424556,0.000424556
144,142.256,0.46242,0.55231,0.8363,0.76714,0.83333,0.92837,0.68571,0.60609,0.66478,0.85248,0.000417482,0.000417482,0.000417482
145,143.234,0.48641,0.49464,0.81009,0.76714,0.83333,0.92837,0.68571,0.60609,0.66478,0.85248,0.000410409,0.000410409,0.000410409
146,144.226,0.49941,0.52489,0.81639,0.76714,0.83333,0.92837,0.68571,0.60609,0.66478,0.85248,0.000403335,0.000403335,0.000403335
147,145.216,0.49246,0.49089,0.80618,0.76714,0.83333,0.92837,0.68571,0.60609,0.66478,0.85248,0.000396262,0.000396262,0.000396262
148,146.226,0.48619,0.50179,0.82054,0.74773,0.83333,0.92714,0.66457,0.59676,0.66368,0.85226,0.000389188,0.000389188,0.000389188
149,147.169,0.47295,0.57744,0.80949,0.74773,0.83333,0.92714,0.66457,0.59676,0.66368,0.85226,0.000382115,0.000382115,0.000382115
150,148.18,0.4735,0.54783,0.81396,0.74773,0.83333,0.92714,0.66457,0.59676,0.66368,0.85226,0.000375041,0.000375041,0.000375041
151,149.155,0.49386,0.52705,0.81214,0.74773,0.83333,0.92714,0.66457,0.59676,0.66368,0.85226,0.000367967,0.000367967,0.000367967
152,150.188,0.53233,0.65073,0.80462,0.73228,0.83333,0.92685,0.68958,0.54062,0.6637,0.8485,0.000360894,0.000360894,0.000360894
153,151.16,0.41914,0.52846,0.7975,0.73228,0.83333,0.92685,0.68958,0.54062,0.6637,0.8485,0.00035382,0.00035382,0.00035382
154,152.086,0.42222,0.51393,0.80224,0.73228,0.83333,0.92685,0.68958,0.54062,0.6637,0.8485,0.000346747,0.000346747,0.000346747
155,153.069,0.43237,0.49452,0.80177,0.73228,0.83333,0.92685,0.68958,0.54062,0.6637,0.8485,0.000339673,0.000339673,0.000339673
156,154.098,0.46523,0.49628,0.83143,0.73525,0.83333,0.92685,0.68216,0.51002,0.65438,0.84733,0.0003326,0.0003326,0.0003326
157,155.081,0.41996,0.50959,0.82486,0.73525,0.83333,0.92685,0.68216,0.51002,0.65438,0.84733,0.000325526,0.000325526,0.000325526
158,156.037,0.43769,0.48046,0.81057,0.73525,0.83333,0.92685,0.68216,0.51002,0.65438,0.84733,0.000318453,0.000318453,0.000318453
159,157.012,0.42784,0.48101,0.80446,0.73525,0.83333,0.92685,0.68216,0.51002,0.65438,0.84733,0.000311379,0.000311379,0.000311379
160,158.014,0.46395,0.51177,0.80597,0.75414,0.83333,0.92467,0.7008,0.50051,0.65798,0.84571,0.000304306,0.000304306,0.000304306
161,158.996,0.43635,0.50134,0.81109,0.75414,0.83333,0.92467,0.7008,0.50051,0.65798,0.84571,0.000297232,0.000297232,0.000297232
162,159.929,0.44343,0.51971,0.8056,0.75414,0.83333,0.92467,0.7008,0.50051,0.65798,0.84571,0.000290158,0.000290158,0.000290158
163,160.895,0.41938,0.51487,0.81272,0.75414,0.83333,0.92467,0.7008,0.50051,0.65798,0.84571,0.000283085,0.000283085,0.000283085
164,161.83,0.42381,0.74221,0.83499,0.76858,0.83333,0.92451,0.68302,0.49764,0.65788,0.84209,0.000276011,0.000276011,0.000276011
165,162.804,0.51094,0.53588,0.79817,0.76858,0.83333,0.92451,0.68302,0.49764,0.65788,0.84209,0.000268938,0.000268938,0.000268938
166,163.771,0.41668,0.51047,0.79948,0.76858,0.83333,0.92451,0.68302,0.49764,0.65788,0.84209,0.000261864,0.000261864,0.000261864
167,164.73,0.49601,0.53031,0.81193,0.76858,0.83333,0.92451,0.68302,0.49764,0.65788,0.84209,0.000254791,0.000254791,0.000254791
168,165.716,0.47663,0.50909,0.82705,0.77307,0.83333,0.92482,0.68467,0.48913,0.65908,0.83867,0.000247717,0.000247717,0.000247717
